1748257291781,User alice signed up.
1748257291789,User bernardo signed up.
1748257291789,User alice logged in.
1748257291789,User bernardo logged in.
1748257291796,r/sub1 created.
1748257291798,alice is a mod of r/sub1
1748257291830,bernardo posted in sub1.
1748257291842,Post upvoted.
1748257291842,PostThis is Bewas commented on.
1748257291845,Thread printed
1748257291848,r/sub1 requested.
1748257291848,alice requested his karma.
1748257291856,PostThis is Bernardo and was reported.
1748257291868,alice is now alicja
1748257338776,User alice signed up.
1748257338784,User bernardo signed up.
1748257338784,User alice logged in.
1748257338784,User bernardo logged in.
1748257338794,r/sub1 created.
1748257338798,alice is a mod of r/sub1
1748257338826,bernardo posted in sub1.
1748257338840,Post upvoted.
1748257338840,PostThis is Bewas commented on.
1748257338842,Thread printed
1748257338845,r/sub1 requested.
1748257338845,alice requested his karma.
1748257338853,PostThis is Bernardo and was reported.
1748257338865,alice is now alicja
1748257747283,User alice signed up.
1748257747291,User bernardo signed up.
1748257747291,User alice logged in.
1748257747291,User bernardo logged in.
1748257747302,r/sub1 created.
1748257747305,alice is a mod of r/sub1
1748257747328,bernardo posted in sub1.
1748257747341,Post upvoted.
1748257747341,PostThis is Bewas commented on.
1748257747344,Thread printed
1748257747348,r/sub1 requested.
1748257747349,alice requested his karma.
1748257747363,PostThis is Bernardo and was reported.
1748257747374,alice is now alicja
1748257787774,User alice signed up.
1748257787782,User bernardo signed up.
1748257787782,User alice logged in.
1748257787783,User bernardo logged in.
1748257787793,r/sub1 created.
1748257787800,alice is a mod of r/sub1
1748257787834,bernardo posted in sub1.
1748257787859,Post upvoted.
1748257787859,PostThis is Bewas commented on.
1748257787864,Thread printed
1748257787869,r/sub1 requested.
1748257787870,alice requested his karma.
1748257787883,PostThis is Bernardo and was reported.
1748257787892,alice is now alicja
1748258003324,User alice signed up.
1748258003331,User bernardo signed up.
1748258003332,User alice logged in.
1748258003332,User bernardo logged in.
1748258003340,r/sub1 created.
1748258003343,alice is a mod of r/sub1
1748258003363,bernardo posted in sub1.
1748258003375,Post upvoted.
1748258003375,PostThis is Bewas commented on.
1748258003377,Thread printed
1748258003378,r/sub1 requested.
1748258003378,alice requested his karma.
1748258003382,PostThis is Bernardo and was reported.
1748258003388,alice is now alicja
1748259409325,User alice signed up.
1748259409333,User bernardo signed up.
1748259409334,User alice logged in.
1748259409334,User bernardo logged in.
1748259409343,r/sub1 created.
1748259409347,alice is a mod of r/sub1
1748259409379,bernardo posted in sub1.
1748259409407,Post upvoted.
1748259409408,PostThis is Bewas commented on.
1748259409412,Thread printed
1748259409417,r/sub1 requested.
1748259409417,alice requested his karma.
1748259409431,PostThis is Bernardo and was reported.
1748259409445,alice is now alicja
1748518346536,User alice signed up.
1748518346545,User bernardo signed up.
1748518346545,User alice logged in.
1748518346545,User bernardo logged in.
1748518346557,r/sub1 created.
1748518346563,alice is a mod of r/sub1
1748518346616,bernardo posted in sub1.
1748518346637,Post upvoted.
1748518346637,PostThis is Bewas commented on.
1748518346640,Thread printed
1748518346643,r/sub1 requested.
1748518346643,alice requested his karma.
1748518346651,PostThis is Bernardo and was reported.
1748518346660,alice is now alicja
1748518381004,User alice signed up.
1748518381015,User bernardo signed up.
1748518381015,User alice logged in.
1748518381015,User bernardo logged in.
1748518381036,r/sub1 created.
1748518381039,alice is a mod of r/sub1
1748518381065,bernardo posted in sub1.
1748518381079,Post upvoted.
1748518381079,PostThis is Bewas commented on.
1748518381081,Thread printed
1748518381083,r/sub1 requested.
1748518381083,alice requested his karma.
1748518381090,PostThis is Bernardo and was reported.
1748518381102,alice is now alicja
